prism_consumer_id,prism_account_id,memo,amount,posted_date,category
1315,acc_3678,SELF_TRANSFER,20.0,2021-06-14,SELF_TRANSFER
190,acc_546,EXTERNAL_TRANSFER,3.0,2022-03-04,EXTERNAL_TRANSFER
1705,acc_4717,EXTERNAL_TRANSFER,140.6,2022-03-15,EXTERNAL_TRANSFER
3748,acc_7331,MISCELLANEOUS,50.0,2022-12-01,MISCELLANEOUS
1224,acc_3453,EXTERNAL_TRANSFER,350.0,2021-04-09,EXTERNAL_TRANSFER
4120,acc_7703,MISCELLANEOUS,14.03,2022-04-15,MISCELLANEOUS
1759,acc_4870,SELF_TRANSFER,1000.0,2021-08-09,SELF_TRANSFER
4856,acc_8439,REFUND,786.0,2022-11-10,REFUND
3208,acc_6791,SELF_TRANSFER,40.0,2022-08-10,SELF_TRANSFER
1773,acc_4914,MISCELLANEOUS,70.0,2021-04-26,MISCELLANEOUS
3927,acc_7510,EXTERNAL_TRANSFER,60.77,2022-10-22,EXTERNAL_TRANSFER
3148,acc_6731,MISCELLANEOUS,50.0,2023-05-15,MISCELLANEOUS
603,acc_1773,PAYCHECK,2363.61,2022-11-22,PAYCHECK
2417,acc_6000,SELF_TRANSFER,10.0,2022-09-15,SELF_TRANSFER
1860,acc_5159,EXTERNAL_TRANSFER,880.96,2020-12-24,EXTERNAL_TRANSFER
2101,acc_5684,MISCELLANEOUS,826.06,2023-03-29,MISCELLANEOUS
264,acc_801,EXTERNAL_TRANSFER,2000.0,2022-09-22,EXTERNAL_TRANSFER
894,acc_2578,DEPOSIT,1200.0,2020-02-24,DEPOSIT
3731,acc_7314,MISCELLANEOUS,581.81,2022-08-02,MISCELLANEOUS
875,acc_2526,SELF_TRANSFER,200.0,2022-03-09,SELF_TRANSFER
5737,acc_9320,SELF_TRANSFER,20.0,2021-10-06,SELF_TRANSFER
2657,acc_6240,MISCELLANEOUS,65.02,2022-10-20,MISCELLANEOUS
5451,acc_9034,SELF_TRANSFER,50.0,2021-05-18,SELF_TRANSFER
5767,acc_9350,SMALL_DOLLAR_ADVANCE,25.0,2021-09-01,SMALL_DOLLAR_ADVANCE
1964,acc_5480,PAYCHECK,55.58,2022-07-25,PAYCHECK
1991,acc_5569,SELF_TRANSFER,200.0,2021-08-27,SELF_TRANSFER
5584,acc_9167,DEPOSIT,40.0,2022-01-14,DEPOSIT
1127,acc_3196,SELF_TRANSFER,5000.0,2021-09-07,SELF_TRANSFER
4977,acc_8560,MISCELLANEOUS,380.5,2022-08-05,MISCELLANEOUS
5260,acc_8843,EXTERNAL_TRANSFER,150.0,2021-05-05,EXTERNAL_TRANSFER
1137,acc_3222,EXTERNAL_TRANSFER,395.55,2021-12-15,EXTERNAL_TRANSFER
194,acc_564,EXTERNAL_TRANSFER,210.0,2020-05-20,EXTERNAL_TRANSFER
575,acc_1695,DEPOSIT,500.0,2021-01-08,DEPOSIT
3142,acc_6725,SELF_TRANSFER,10.0,2023-04-03,SELF_TRANSFER
833,acc_2396,SELF_TRANSFER,1556.86,2022-07-26,SELF_TRANSFER
3927,acc_7510,SELF_TRANSFER,40.0,2023-01-05,SELF_TRANSFER
1681,acc_4664,DEPOSIT,200.0,2022-10-11,DEPOSIT
3123,acc_6706,SELF_TRANSFER,31.0,2023-01-01,SELF_TRANSFER
550,acc_1626,INVESTMENT_INCOME,0.01,2022-01-26,INVESTMENT_INCOME
5780,acc_9363,SELF_TRANSFER,190.0,2022-08-16,SELF_TRANSFER
