prism_consumer_id,prism_account_id,memo,amount,posted_date,category
4034,acc_7617,PURCHASE AUTHORIZED ON 11/01 XXXX FORDHAM DELI BRONX NY SXXXXXXXXXXXXXXX CARD XXXX,13.39,2020-11-03,FOOD_AND_BEVERAGES
685,acc_1985,Publix,42.74,2021-04-19,GROCERIES
2645,acc_6228,AUTOMOTIVE,35.57,2023-04-29,AUTOMOTIVE
4461,acc_8044,CREDIT_CARD_PAYMENT,105.88,2021-11-23,CREDIT_CARD_PAYMENT
3073,acc_6656,AUTOMOTIVE,17.64,2022-11-08,AUTOMOTIVE
4094,acc_7677,EXTERNAL_TRANSFER,9.0,2022-01-06,EXTERNAL_TRANSFER
4090,acc_7673,AUTOMOTIVE,90.4,2022-06-07,AUTOMOTIVE
3398,acc_6981,ATM_CASH,203.0,2022-10-19,ATM_CASH
1719,acc_4749,ATM_CASH,2400.0,2018-10-05,ATM_CASH
1367,acc_3820,UNCATEGORIZED,17.18,2021-04-01,UNCATEGORIZED
3444,acc_7027,ENTERTAINMENT,10.81,2023-03-13,ENTERTAINMENT
1940,acc_5412,Burger King,5.93,2021-09-24,FOOD_AND_BEVERAGES
5106,acc_8689,POS DB KROGER #51 XXXX 09/17 200,67.34,2022-09-19,GROCERIES
5429,acc_9012,CHECKCARD XXXX MCDONALD'S MXXXX ORLANDO FL XXXXXXXXXXXXXXXXXXXXXXX,5.95,2021-07-01,FOOD_AND_BEVERAGES
5429,acc_9012,EXTERNAL_TRANSFER,21.71,2022-03-09,EXTERNAL_TRANSFER
1858,acc_5155,ENTERTAINMENT,45.45,2022-04-04,ENTERTAINMENT
5832,acc_9415,EXTERNAL_TRANSFER,155.0,2022-10-17,EXTERNAL_TRANSFER
573,acc_1691,TST* MY BURGER CALHO,10.59,2021-10-05,FOOD_AND_BEVERAGES
774,acc_2232,rue21,27.2,2020-12-10,GENERAL_MERCHANDISE
4847,acc_8430,PURCHASE AUTHORIZED ON 04/17 WAL-MART #XXXX MIAMI GARDENS FL PXXXXXXXXXXXXXXX CARD XXXX,1.9,2022-04-18,GROCERIES
4256,acc_7839,AUTOMOTIVE,19.56,2022-11-22,AUTOMOTIVE
833,acc_2397,ATM_CASH,2400.0,2023-02-23,ATM_CASH
1603,acc_4441,Rancho Christian FACTS XXXXXXXXXXXXXXX Lieschen Magrath,50.0,2021-08-23,EDUCATION
561,acc_1661,PURCHASE AUTHORIZED ON 01/08 KIMPTON HOTEL MONA PITTSBURGH PA SXXXXXXXXXXXXXXX CARD XXXX,52.98,2022-01-11,TRAVEL
5676,acc_9259,EXTERNAL_TRANSFER,9.99,2022-09-26,EXTERNAL_TRANSFER
3968,acc_7551,CHECKCARD XXXX SNACK SODA VENDIN FORNEY TX XXXXXXXXXXXXXXXXXXXXXXX,4.1,2023-02-13,FOOD_AND_BEVERAGES
1954,acc_5446,ATM_CASH,526.3,2022-07-07,ATM_CASH
3093,acc_6676,POS Debit - Visa Check Card XXXX - YOUTUBE TV G.CO HELPP,70.19,2022-09-02,GENERAL_MERCHANDISE
4106,acc_7689,PURCHASE AUTHORIZED ON 08/04 HY-VEE F&F JOHNSTO JOHNSTON IA SXXXXXXXXXXXXXXX CARD XXXX,20.01,2022-08-05,GROCERIES
5831,acc_9414,Kroger,39.52,2021-11-29,GROCERIES
4380,acc_7963,EXTERNAL_TRANSFER,61.6,2022-03-10,EXTERNAL_TRANSFER
2707,acc_6290,Amazon,111.27,2022-07-01,GENERAL_MERCHANDISE
1653,acc_4568,MOBILE PURCHASE XXXX HURRICANE SIMULATOR ROSEVILLE CA XXXXXXXXXXXXXXXXXXXXXXX,2.0,2022-07-18,FOOD_AND_BEVERAGES
4494,acc_8077,AUTOMOTIVE,60.0,2022-07-11,AUTOMOTIVE
2383,acc_5966,ATM_CASH,1100.0,2022-10-07,ATM_CASH
4847,acc_8430,AUTOMOTIVE,7.84,2020-12-09,AUTOMOTIVE
